Account_Number,Customer_Name,Invoice_Group,Total
QA34,ABBEY PET FOODS,8.5cm Wildflower Tray of 18,0
QA34,ABBEY PET FOODS,Bare root Wallflowers,0
QA34,ABBEY PET FOODS,Point of Sale,0
QA34,ABBEY PET FOODS,Q Sleeve Wallflowers,0
QA34,ABBEY PET FOODS,Strawberry Carry Packs Tray of 6,0
QA34,ABBEY PET FOODS,Strip Vegetables Tray of 6,1171.8
QA34,ABBEY PET FOODS,Sweet Pea Carry Packs Tray of 6,69.84
QA86,ACKWORTH GARDEN CENTRE,10cm Bean/Pea Range - Trays of 10,0
QA86,ACKWORTH GARDEN CENTRE,10cm Grafted Vegetable Trays of 10,0
QA86,ACKWORTH GARDEN CENTRE,10cm Pot Chilli Tray of 10,0
QA86,ACKWORTH GARDEN CENTRE,10cm Pot Heritage Tomato,0
QA86,ACKWORTH GARDEN CENTRE,10cm Sweet Potato Tray of 10,0
QA86,ACKWORTH GARDEN CENTRE,1L Pot Herb Tray of 8,30.88
QA86,ACKWORTH GARDEN CENTRE,1L Pot Veg Tray of 8,0
QA86,ACKWORTH GARDEN CENTRE,8.5cm Pot Herb Tray of 18,0
QA86,ACKWORTH GARDEN CENTRE,8.5cm Pot Strawberry Tray of 18,0
QA86,ACKWORTH GARDEN CENTRE,8.5cm Pot Sweet Pea Tray of 18,0
QA86,ACKWORTH GARDEN CENTRE,8.5cm Pot vegetables Tray of 18,56.16
QA86,ACKWORTH GARDEN CENTRE,8.5cm Premium Pot Veg Tray of 18,0
QA86,ACKWORTH GARDEN CENTRE,8.5cm Wildflower Tray of 18,0
QA86,ACKWORTH GARDEN CENTRE,Bare root Wallflowers,0
QA86,ACKWORTH GARDEN CENTRE,Point of Sale,0
QA86,ACKWORTH GARDEN CENTRE,Q Sleeve Wallflowers,0
QA86,ACKWORTH GARDEN CENTRE,Strawberry Carry Packs Tray of 6,0
QA86,ACKWORTH GARDEN CENTRE,Strip Vegetables Tray of 6,279
QA86,ACKWORTH GARDEN CENTRE,Sweet Pea Carry Packs Tray of 6,0
QA127,ACORN NURSERIES,10cm Bean/Pea Range - Trays of 10,0
QA127,ACORN NURSERIES,10cm Grafted Vegetable Trays of 10,0
QA127,ACORN NURSERIES,10cm Pot Chilli Tray of 10,0
QA127,ACORN NURSERIES,10cm Pot Heritage Tomato,0
QA127,ACORN NURSERIES,10cm Sweet Potato Tray of 10,0
QA127,ACORN NURSERIES,1L Pot Herb Tray of 8,0
QA127,ACORN NURSERIES,1L Pot Veg Tray of 8,0
QA127,ACORN NURSERIES,8.5cm Pot Herb Tray of 18,0
QA127,ACORN NURSERIES,8.5cm Pot Strawberry Tray of 18,0
QA127,ACORN NURSERIES,8.5cm Pot Sweet Pea Tray of 18,0
QA127,ACORN NURSERIES,8.5cm Pot vegetables Tray of 18,0
QA127,ACORN NURSERIES,8.5cm Premium Pot Veg Tray of 18,0
QA127,ACORN NURSERIES,8.5cm Wildflower Tray of 18,0
QA127,ACORN NURSERIES,Bare root Wallflowers,328
QA127,ACORN NURSERIES,Point of Sale,0
QA127,ACORN NURSERIES,Q Sleeve Wallflowers,0
QA127,ACORN NURSERIES,Strawberry Carry Packs Tray of 6,0
QA127,ACORN NURSERIES,Strip Vegetables Tray of 6,0
QA127,ACORN NURSERIES,Sweet Pea Carry Packs Tray of 6,0
QA210,ACRES SUPPLY LIMITED,10cm Bean/Pea Range - Trays of 10,0
QA210,ACRES SUPPLY LIMITED,10cm Grafted Vegetable Trays of 10,0
QA210,ACRES SUPPLY LIMITED,10cm Pot Chilli Tray of 10,0
QA210,ACRES SUPPLY LIMITED,10cm Pot Heritage Tomato,0
QA210,ACRES SUPPLY LIMITED,10cm Sweet Potato Tray of 10,0
QA210,ACRES SUPPLY LIMITED,1L Pot Herb Tray of 8,555.84
QA210,ACRES SUPPLY LIMITED,1L Pot Veg Tray of 8,0
QA210,ACRES SUPPLY LIMITED,8.5cm Pot Herb Tray of 18,37.44
QA210,ACRES SUPPLY LIMITED,8.5cm Pot Strawberry Tray of 18,39.6
QA210,ACRES SUPPLY LIMITED,8.5cm Pot Sweet Pea Tray of 18,0
QA210,ACRES SUPPLY LIMITED,8.5cm Pot vegetables Tray of 18,224.64
QA210,ACRES SUPPLY LIMITED,8.5cm Premium Pot Veg Tray of 18,0
QA210,ACRES SUPPLY LIMITED,8.5cm Wildflower Tray of 18,0
QA210,ACRES SUPPLY LIMITED,Bare root Wallflowers,0
QA210,ACRES SUPPLY LIMITED,Point of Sale,0
QA210,ACRES SUPPLY LIMITED,Q Sleeve Wallflowers,0
QA210,ACRES SUPPLY LIMITED,Strawberry Carry Packs Tray of 6,34.92
QA210,ACRES SUPPLY LIMITED,Strip Vegetables Tray of 6,744
QA210,ACRES SUPPLY LIMITED,Sweet Pea Carry Packs Tray of 6,221.16
QA44,ACW GARDEN CENTRE LLP,10cm Bean/Pea Range - Trays of 10,0
QA44,ACW GARDEN CENTRE LLP,10cm Grafted Vegetable Trays of 10,0
QA44,ACW GARDEN CENTRE LLP,10cm Pot Chilli Tray of 10,0
QA44,ACW GARDEN CENTRE LLP,10cm Pot Heritage Tomato,0
QA44,ACW GARDEN CENTRE LLP,10cm Sweet Potato Tray of 10,0
QA44,ACW GARDEN CENTRE LLP,1L Pot Herb Tray of 8,895.52
QA44,ACW GARDEN CENTRE LLP,1L Pot Veg Tray of 8,0
QA44,ACW GARDEN CENTRE LLP,8.5cm Pot Herb Tray of 18,1535.04
QA44,ACW GARDEN CENTRE LLP,8.5cm Pot Strawberry Tray of 18,0
QA44,ACW GARDEN CENTRE LLP,8.5cm Pot Sweet Pea Tray of 18,0
QA44,ACW GARDEN CENTRE LLP,8.5cm Pot vegetables Tray of 18,912.6
QA44,ACW GARDEN CENTRE LLP,8.5cm Premium Pot Veg Tray of 18,529.2
QA44,ACW GARDEN CENTRE LLP,8.5cm Wildflower Tray of 18,0
QA44,ACW GARDEN CENTRE LLP,Bare root Wallflowers,0
QA44,ACW GARDEN CENTRE LLP,Point of Sale,0
QA44,ACW GARDEN CENTRE LLP,Q Sleeve Wallflowers,292.5
QA44,ACW GARDEN CENTRE LLP,Strawberry Carry Packs Tray of 6,0
QA44,ACW GARDEN CENTRE LLP,Strip Vegetables Tray of 6,2511
QA44,ACW GARDEN CENTRE LLP,Sweet Pea Carry Packs Tray of 6,0
QA122,ACW GARDEN SERVICES,10cm Bean/Pea Range - Trays of 10,0
QA122,ACW GARDEN SERVICES,10cm Grafted Vegetable Trays of 10,0
QA122,ACW GARDEN SERVICES,10cm Pot Chilli Tray of 10,0
QA122,ACW GARDEN SERVICES,10cm Pot Heritage Tomato,0
QA122,ACW GARDEN SERVICES,10cm Sweet Potato Tray of 10,49
QA122,ACW GARDEN SERVICES,1L Pot Herb Tray of 8,0
QA122,ACW GARDEN SERVICES,1L Pot Veg Tray of 8,0
QA122,ACW GARDEN SERVICES,8.5cm Pot Herb Tray of 18,449.28
QA122,ACW GARDEN SERVICES,8.5cm Pot Strawberry Tray of 18,0
QA122,ACW GARDEN SERVICES,8.5cm Pot Sweet Pea Tray of 18,0
QA122,ACW GARDEN SERVICES,8.5cm Pot vegetables Tray of 18,505.44
QA122,ACW GARDEN SERVICES,8.5cm Premium Pot Veg Tray of 18,635.04
QA122,ACW GARDEN SERVICES,8.5cm Wildflower Tray of 18,0
QA122,ACW GARDEN SERVICES,Bare root Wallflowers,0
QA122,ACW GARDEN SERVICES,Point of Sale,0
QA122,ACW GARDEN SERVICES,Q Sleeve Wallflowers,0
QA122,ACW GARDEN SERVICES,Strawberry Carry Packs Tray of 6,0
QA122,ACW GARDEN SERVICES,Strip Vegetables Tray of 6,3627
QA122,ACW GARDEN SERVICES,Sweet Pea Carry Packs Tray of 6,0
QA18,ADMILL INVESTMENTS LIMITED,10cm Bean/Pea Range - Trays of 10,0
QA18,ADMILL INVESTMENTS LIMITED,10cm Grafted Vegetable Trays of 10,0
QA18,ADMILL INVESTMENTS LIMITED,10cm Pot Chilli Tray of 10,0
QA18,ADMILL INVESTMENTS LIMITED,10cm Pot Heritage Tomato,0
