Account_Number,Customer_Name,Invoice_Group,Total
QC99,COLNE VALLEY GARDEN CENTRE,8.5cm Wildflower Tray of 18,0
QC99,COLNE VALLEY GARDEN CENTRE,Bare root Wallflowers,0
QC99,COLNE VALLEY GARDEN CENTRE,Point of Sale,0
QC99,COLNE VALLEY GARDEN CENTRE,Q Sleeve Wallflowers,0
QC99,COLNE VALLEY GARDEN CENTRE,Strawberry Carry Packs Tray of 6,116.4
QC99,COLNE VALLEY GARDEN CENTRE,Strip Vegetables Tray of 6,2641.2
QC99,COLNE VALLEY GARDEN CENTRE,Sweet Pea Carry Packs Tray of 6,0
QC163,COMMERCIAL PLANTINGS,10cm Bean/Pea Range - Trays of 10,0
QC163,COMMERCIAL PLANTINGS,10cm Grafted Vegetable Trays of 10,0
QC163,COMMERCIAL PLANTINGS,10cm Pot Chilli Tray of 10,0
QC163,COMMERCIAL PLANTINGS,10cm Pot Heritage Tomato,0
QC163,COMMERCIAL PLANTINGS,10cm Sweet Potato Tray of 10,0
QC163,COMMERCIAL PLANTINGS,1L Pot Herb Tray of 8,0
QC163,COMMERCIAL PLANTINGS,1L Pot Veg Tray of 8,0
QC163,COMMERCIAL PLANTINGS,8.5cm Pot Herb Tray of 18,0
QC163,COMMERCIAL PLANTINGS,8.5cm Pot Strawberry Tray of 18,0
QC163,COMMERCIAL PLANTINGS,8.5cm Pot Sweet Pea Tray of 18,0
QC163,COMMERCIAL PLANTINGS,8.5cm Pot vegetables Tray of 18,322.92
QC163,COMMERCIAL PLANTINGS,8.5cm Premium Pot Veg Tray of 18,75.6
QC163,COMMERCIAL PLANTINGS,8.5cm Wildflower Tray of 18,0
QC163,COMMERCIAL PLANTINGS,Bare root Wallflowers,0
QC163,COMMERCIAL PLANTINGS,Point of Sale,0
QC163,COMMERCIAL PLANTINGS,Q Sleeve Wallflowers,0
QC163,COMMERCIAL PLANTINGS,Strawberry Carry Packs Tray of 6,0
QC163,COMMERCIAL PLANTINGS,Strip Vegetables Tray of 6,167.4
QC163,COMMERCIAL PLANTINGS,Sweet Pea Carry Packs Tray of 6,0
QC72,COMPTON ACRES PLANT CENTRE,10cm Bean/Pea Range - Trays of 10,0
QC72,COMPTON ACRES PLANT CENTRE,10cm Grafted Vegetable Trays of 10,0
QC72,COMPTON ACRES PLANT CENTRE,10cm Pot Chilli Tray of 10,0
QC72,COMPTON ACRES PLANT CENTRE,10cm Pot Heritage Tomato,0
QC72,COMPTON ACRES PLANT CENTRE,10cm Sweet Potato Tray of 10,0
QC72,COMPTON ACRES PLANT CENTRE,1L Pot Herb Tray of 8,15.44
QC72,COMPTON ACRES PLANT CENTRE,1L Pot Veg Tray of 8,0
QC72,COMPTON ACRES PLANT CENTRE,8.5cm Pot Herb Tray of 18,18.72
QC72,COMPTON ACRES PLANT CENTRE,8.5cm Pot Strawberry Tray of 18,0
QC72,COMPTON ACRES PLANT CENTRE,8.5cm Pot Sweet Pea Tray of 18,0
QC72,COMPTON ACRES PLANT CENTRE,8.5cm Pot vegetables Tray of 18,112.32
QC72,COMPTON ACRES PLANT CENTRE,8.5cm Premium Pot Veg Tray of 18,0
QC72,COMPTON ACRES PLANT CENTRE,8.5cm Wildflower Tray of 18,0
QC72,COMPTON ACRES PLANT CENTRE,Bare root Wallflowers,0
QC72,COMPTON ACRES PLANT CENTRE,Point of Sale,0
QC72,COMPTON ACRES PLANT CENTRE,Q Sleeve Wallflowers,0
QC72,COMPTON ACRES PLANT CENTRE,Strawberry Carry Packs Tray of 6,0
QC72,COMPTON ACRES PLANT CENTRE,Strip Vegetables Tray of 6,195.3
QC72,COMPTON ACRES PLANT CENTRE,Sweet Pea Carry Packs Tray of 6,0
QC109,CONKERS GARDEN CENTRE,10cm Bean/Pea Range - Trays of 10,0
QC109,CONKERS GARDEN CENTRE,10cm Grafted Vegetable Trays of 10,0
QC109,CONKERS GARDEN CENTRE,10cm Pot Chilli Tray of 10,0
QC109,CONKERS GARDEN CENTRE,10cm Pot Heritage Tomato,0
QC109,CONKERS GARDEN CENTRE,10cm Sweet Potato Tray of 10,0
QC109,CONKERS GARDEN CENTRE,1L Pot Herb Tray of 8,61.76
QC109,CONKERS GARDEN CENTRE,1L Pot Veg Tray of 8,0
QC109,CONKERS GARDEN CENTRE,8.5cm Pot Herb Tray of 18,149.76
QC109,CONKERS GARDEN CENTRE,8.5cm Pot Strawberry Tray of 18,0
QC109,CONKERS GARDEN CENTRE,8.5cm Pot Sweet Pea Tray of 18,0
QC109,CONKERS GARDEN CENTRE,8.5cm Pot vegetables Tray of 18,112.32
QC109,CONKERS GARDEN CENTRE,8.5cm Premium Pot Veg Tray of 18,60.48
QC109,CONKERS GARDEN CENTRE,8.5cm Wildflower Tray of 18,0
QC109,CONKERS GARDEN CENTRE,Bare root Wallflowers,0
QC109,CONKERS GARDEN CENTRE,Point of Sale,0
QC109,CONKERS GARDEN CENTRE,Q Sleeve Wallflowers,0
QC109,CONKERS GARDEN CENTRE,Strawberry Carry Packs Tray of 6,0
QC109,CONKERS GARDEN CENTRE,Strip Vegetables Tray of 6,334.8
QC109,CONKERS GARDEN CENTRE,Sweet Pea Carry Packs Tray of 6,0
QC214,COOKS GARDEN CENTRE,10cm Bean/Pea Range - Trays of 10,0
QC214,COOKS GARDEN CENTRE,10cm Grafted Vegetable Trays of 10,0
QC214,COOKS GARDEN CENTRE,10cm Pot Chilli Tray of 10,0
QC214,COOKS GARDEN CENTRE,10cm Pot Heritage Tomato,0
QC214,COOKS GARDEN CENTRE,10cm Sweet Potato Tray of 10,0
QC214,COOKS GARDEN CENTRE,1L Pot Herb Tray of 8,247.04
QC214,COOKS GARDEN CENTRE,1L Pot Veg Tray of 8,0
QC214,COOKS GARDEN CENTRE,8.5cm Pot Herb Tray of 18,599.04
QC214,COOKS GARDEN CENTRE,8.5cm Pot Strawberry Tray of 18,237.6
QC214,COOKS GARDEN CENTRE,8.5cm Pot Sweet Pea Tray of 18,507.6
QC214,COOKS GARDEN CENTRE,8.5cm Pot vegetables Tray of 18,4352.4
QC214,COOKS GARDEN CENTRE,8.5cm Premium Pot Veg Tray of 18,1118.88
QC214,COOKS GARDEN CENTRE,8.5cm Wildflower Tray of 18,0
QC214,COOKS GARDEN CENTRE,Bare root Wallflowers,0
QC214,COOKS GARDEN CENTRE,Point of Sale,0
QC214,COOKS GARDEN CENTRE,Q Sleeve Wallflowers,497.25
QC214,COOKS GARDEN CENTRE,Strawberry Carry Packs Tray of 6,0
QC214,COOKS GARDEN CENTRE,Strip Vegetables Tray of 6,2724.9
QC214,COOKS GARDEN CENTRE,Sweet Pea Carry Packs Tray of 6,221.16
QC44,COOLINGS NURSERIES LTD,10cm Bean/Pea Range - Trays of 10,0
QC44,COOLINGS NURSERIES LTD,10cm Grafted Vegetable Trays of 10,0
QC44,COOLINGS NURSERIES LTD,10cm Pot Chilli Tray of 10,0
QC44,COOLINGS NURSERIES LTD,10cm Pot Heritage Tomato,0
QC44,COOLINGS NURSERIES LTD,10cm Sweet Potato Tray of 10,0
QC44,COOLINGS NURSERIES LTD,1L Pot Herb Tray of 8,0
QC44,COOLINGS NURSERIES LTD,1L Pot Veg Tray of 8,0
QC44,COOLINGS NURSERIES LTD,8.5cm Pot Herb Tray of 18,0
QC44,COOLINGS NURSERIES LTD,8.5cm Pot Strawberry Tray of 18,0
QC44,COOLINGS NURSERIES LTD,8.5cm Pot Sweet Pea Tray of 18,0
QC44,COOLINGS NURSERIES LTD,8.5cm Pot vegetables Tray of 18,393.12
QC44,COOLINGS NURSERIES LTD,8.5cm Premium Pot Veg Tray of 18,30.24
QC44,COOLINGS NURSERIES LTD,8.5cm Wildflower Tray of 18,0
QC44,COOLINGS NURSERIES LTD,Bare root Wallflowers,0
QC44,COOLINGS NURSERIES LTD,Point of Sale,0
QC44,COOLINGS NURSERIES LTD,Q Sleeve Wallflowers,702
QC44,COOLINGS NURSERIES LTD,Strawberry Carry Packs Tray of 6,0
QC44,COOLINGS NURSERIES LTD,Strip Vegetables Tray of 6,0
QC44,COOLINGS NURSERIES LTD,Sweet Pea Carry Packs Tray of 6,0
QP142,COTON ORCHARD GARDEN CENTRE (BD),10cm Bean/Pea Range - Trays of 10,0
QP142,COTON ORCHARD GARDEN CENTRE (BD),10cm Grafted Vegetable Trays of 10,1171.8
QP142,COTON ORCHARD GARDEN CENTRE (BD),10cm Pot Chilli Tray of 10,594
QP142,COTON ORCHARD GARDEN CENTRE (BD),10cm Pot Heritage Tomato,0
QP142,COTON ORCHARD GARDEN CENTRE (BD),10cm Sweet Potato Tray of 10,186.4
QP142,COTON ORCHARD GARDEN CENTRE (BD),1L Pot Herb Tray of 8,2604
QP142,COTON ORCHARD GARDEN CENTRE (BD),1L Pot Veg Tray of 8,0
QP142,COTON ORCHARD GARDEN CENTRE (BD),8.5cm Pot Herb Tray of 18,3043.8
QP142,COTON ORCHARD GARDEN CENTRE (BD),8.5cm Pot Strawberry Tray of 18,0
QP142,COTON ORCHARD GARDEN CENTRE (BD),8.5cm Pot Sweet Pea Tray of 18,0
QP142,COTON ORCHARD GARDEN CENTRE (BD),8.5cm Pot vegetables Tray of 18,255.6
QP142,COTON ORCHARD GARDEN CENTRE (BD),8.5cm Premium Pot Veg Tray of 18,273.6
QP142,COTON ORCHARD GARDEN CENTRE (BD),8.5cm Wildflower Tray of 18,0
QP142,COTON ORCHARD GARDEN CENTRE (BD),Bare root Wallflowers,0
QP142,COTON ORCHARD GARDEN CENTRE (BD),Point of Sale,0
QP142,COTON ORCHARD GARDEN CENTRE (BD),Q Sleeve Wallflowers,0
QP142,COTON ORCHARD GARDEN CENTRE (BD),Strawberry Carry Packs Tray of 6,501.12
QP142,COTON ORCHARD GARDEN CENTRE (BD),Strip Vegetables Tray of 6,4187.7
QP142,COTON ORCHARD GARDEN CENTRE (BD),Sweet Pea Carry Packs Tray of 6,0
QC182,COUNTRY MARKET,10cm Bean/Pea Range - Trays of 10,0
QC182,COUNTRY MARKET,10cm Grafted Vegetable Trays of 10,590
QC182,COUNTRY MARKET,10cm Pot Chilli Tray of 10,316.8
QC182,COUNTRY MARKET,10cm Pot Heritage Tomato,192
QC182,COUNTRY MARKET,10cm Sweet Potato Tray of 10,196
QC182,COUNTRY MARKET,1L Pot Herb Tray of 8,0
QC182,COUNTRY MARKET,1L Pot Veg Tray of 8,0
QC182,COUNTRY MARKET,8.5cm Pot Herb Tray of 18,37.44
QC182,COUNTRY MARKET,8.5cm Pot Strawberry Tray of 18,633.6
QC182,COUNTRY MARKET,8.5cm Pot Sweet Pea Tray of 18,270.72
QC182,COUNTRY MARKET,8.5cm Pot vegetables Tray of 18,168.48
QC182,COUNTRY MARKET,8.5cm Premium Pot Veg Tray of 18,0
QC182,COUNTRY MARKET,8.5cm Wildflower Tray of 18,0
QC182,COUNTRY MARKET,Bare root Wallflowers,0
QC182,COUNTRY MARKET,Point of Sale,0
QC182,COUNTRY MARKET,Q Sleeve Wallflowers,0
QC182,COUNTRY MARKET,Strawberry Carry Packs Tray of 6,0
QC182,COUNTRY MARKET,Strip Vegetables Tray of 6,1450.8
QC182,COUNTRY MARKET,Sweet Pea Carry Packs Tray of 6,0
QC213,COWELLS GARDEN CENTRE,10cm Bean/Pea Range - Trays of 10,0
QC213,COWELLS GARDEN CENTRE,10cm Grafted Vegetable Trays of 10,1858.5
QC213,COWELLS GARDEN CENTRE,10cm Pot Chilli Tray of 10,594
QC213,COWELLS GARDEN CENTRE,10cm Pot Heritage Tomato,192
QC213,COWELLS GARDEN CENTRE,10cm Sweet Potato Tray of 10,0
QC213,COWELLS GARDEN CENTRE,1L Pot Herb Tray of 8,0
QC213,COWELLS GARDEN CENTRE,1L Pot Veg Tray of 8,0
QC213,COWELLS GARDEN CENTRE,8.5cm Pot Herb Tray of 18,37.44
QC213,COWELLS GARDEN CENTRE,8.5cm Pot Strawberry Tray of 18,0
QC213,COWELLS GARDEN CENTRE,8.5cm Pot Sweet Pea Tray of 18,1015.2
QC213,COWELLS GARDEN CENTRE,8.5cm Pot vegetables Tray of 18,744.12
QC213,COWELLS GARDEN CENTRE,8.5cm Premium Pot Veg Tray of 18,831.6
QC213,COWELLS GARDEN CENTRE,8.5cm Wildflower Tray of 18,0
QC213,COWELLS GARDEN CENTRE,Bare root Wallflowers,0
QC213,COWELLS GARDEN CENTRE,Point of Sale,0
QC213,COWELLS GARDEN CENTRE,Q Sleeve Wallflowers,0
QC213,COWELLS GARDEN CENTRE,Strawberry Carry Packs Tray of 6,523.8
QC213,COWELLS GARDEN CENTRE,Strip Vegetables Tray of 6,306.9
QC213,COWELLS GARDEN CENTRE,Sweet Pea Carry Packs Tray of 6,523.8
QC207,CRESWICK NURSERIES,10cm Bean/Pea Range - Trays of 10,0
QC207,CRESWICK NURSERIES,10cm Grafted Vegetable Trays of 10,0
QC207,CRESWICK NURSERIES,10cm Pot Chilli Tray of 10,0
QC207,CRESWICK NURSERIES,10cm Pot Heritage Tomato,0
QC207,CRESWICK NURSERIES,10cm Sweet Potato Tray of 10,24.5
QC207,CRESWICK NURSERIES,1L Pot Herb Tray of 8,1327.84
QC207,CRESWICK NURSERIES,1L Pot Veg Tray of 8,0
QC207,CRESWICK NURSERIES,8.5cm Pot Herb Tray of 18,262.08
QC207,CRESWICK NURSERIES,8.5cm Pot Strawberry Tray of 18,0
QC207,CRESWICK NURSERIES,8.5cm Pot Sweet Pea Tray of 18,67.68
QC207,CRESWICK NURSERIES,8.5cm Pot vegetables Tray of 18,884.52
QC207,CRESWICK NURSERIES,8.5cm Premium Pot Veg Tray of 18,453.6
QC207,CRESWICK NURSERIES,8.5cm Wildflower Tray of 18,0
QC207,CRESWICK NURSERIES,Bare root Wallflowers,0
QC207,CRESWICK NURSERIES,Point of Sale,0
QC207,CRESWICK NURSERIES,Q Sleeve Wallflowers,0
QC207,CRESWICK NURSERIES,Strawberry Carry Packs Tray of 6,0
QC207,CRESWICK NURSERIES,Strip Vegetables Tray of 6,1385.7
QC207,CRESWICK NURSERIES,Sweet Pea Carry Packs Tray of 6,34.92
QC192,CREWE ROAD NURSERY,10cm Bean/Pea Range - Trays of 10,0
QC192,CREWE ROAD NURSERY,10cm Grafted Vegetable Trays of 10,0
QC192,CREWE ROAD NURSERY,10cm Pot Chilli Tray of 10,0
QC192,CREWE ROAD NURSERY,10cm Pot Heritage Tomato,0
QC192,CREWE ROAD NURSERY,10cm Sweet Potato Tray of 10,73.5
QC192,CREWE ROAD NURSERY,1L Pot Herb Tray of 8,61.76
QC192,CREWE ROAD NURSERY,1L Pot Veg Tray of 8,0
QC192,CREWE ROAD NURSERY,8.5cm Pot Herb Tray of 18,1329.12
QC192,CREWE ROAD NURSERY,8.5cm Pot Strawberry Tray of 18,118.8
QC192,CREWE ROAD NURSERY,8.5cm Pot Sweet Pea Tray of 18,135.36
QC192,CREWE ROAD NURSERY,8.5cm Pot vegetables Tray of 18,2176.2
QC192,CREWE ROAD NURSERY,8.5cm Premium Pot Veg Tray of 18,861.84
QC192,CREWE ROAD NURSERY,8.5cm Wildflower Tray of 18,0
QC192,CREWE ROAD NURSERY,Bare root Wallflowers,0
QC192,CREWE ROAD NURSERY,Point of Sale,0
QC192,CREWE ROAD NURSERY,Q Sleeve Wallflowers,0
QC192,CREWE ROAD NURSERY,Strawberry Carry Packs Tray of 6,0
QC192,CREWE ROAD NURSERY,Strip Vegetables Tray of 6,2287.8
QC192,CREWE ROAD NURSERY,Sweet Pea Carry Packs Tray of 6,139.68
QC172,CROCUS LTD,10cm Bean/Pea Range - Trays of 10,0
QC172,CROCUS LTD,10cm Grafted Vegetable Trays of 10,0
QC172,CROCUS LTD,10cm Pot Chilli Tray of 10,0
QC172,CROCUS LTD,10cm Pot Heritage Tomato,0
QC172,CROCUS LTD,10cm Sweet Potato Tray of 10,0
QC172,CROCUS LTD,1L Pot Herb Tray of 8,0
QC172,CROCUS LTD,1L Pot Veg Tray of 8,0
QC172,CROCUS LTD,8.5cm Pot Herb Tray of 18,0
QC172,CROCUS LTD,8.5cm Pot Strawberry Tray of 18,0
QC172,CROCUS LTD,8.5cm Pot Sweet Pea Tray of 18,0
QC172,CROCUS LTD,8.5cm Pot vegetables Tray of 18,5461.56
QC172,CROCUS LTD,8.5cm Premium Pot Veg Tray of 18,1375.92
QC172,CROCUS LTD,8.5cm Wildflower Tray of 18,0
QC172,CROCUS LTD,Bare root Wallflowers,0
QC172,CROCUS LTD,Point of Sale,0
QC172,CROCUS LTD,Q Sleeve Wallflowers,0
QC172,CROCUS LTD,Strawberry Carry Packs Tray of 6,0
QC172,CROCUS LTD,Strip Vegetables Tray of 6,0
QC172,CROCUS LTD,Sweet Pea Carry Packs Tray of 6,0
QC190,CROCUS@DORNEY COURT,10cm Bean/Pea Range - Trays of 10,0
QC190,CROCUS@DORNEY COURT,10cm Grafted Vegetable Trays of 10,0
QC190,CROCUS@DORNEY COURT,10cm Pot Chilli Tray of 10,0
QC190,CROCUS@DORNEY COURT,10cm Pot Heritage Tomato,0
QC190,CROCUS@DORNEY COURT,10cm Sweet Potato Tray of 10,0
QC190,CROCUS@DORNEY COURT,1L Pot Herb Tray of 8,1065.36
QC190,CROCUS@DORNEY COURT,1L Pot Veg Tray of 8,0
QC190,CROCUS@DORNEY COURT,8.5cm Pot Herb Tray of 18,149.76
QC190,CROCUS@DORNEY COURT,8.5cm Pot Strawberry Tray of 18,99
QC190,CROCUS@DORNEY COURT,8.5cm Pot Sweet Pea Tray of 18,0
QC190,CROCUS@DORNEY COURT,8.5cm Pot vegetables Tray of 18,379.08
QC190,CROCUS@DORNEY COURT,8.5cm Premium Pot Veg Tray of 18,45.36
QC190,CROCUS@DORNEY COURT,8.5cm Wildflower Tray of 18,0
QC190,CROCUS@DORNEY COURT,Bare root Wallflowers,0
QC190,CROCUS@DORNEY COURT,Point of Sale,0
QC190,CROCUS@DORNEY COURT,Q Sleeve Wallflowers,0
QC190,CROCUS@DORNEY COURT,Strawberry Carry Packs Tray of 6,0
QC190,CROCUS@DORNEY COURT,Strip Vegetables Tray of 6,669.6
QC190,CROCUS@DORNEY COURT,Sweet Pea Carry Packs Tray of 6,0
QC67,CRONTON NURSERIES,10cm Bean/Pea Range - Trays of 10,0
QC67,CRONTON NURSERIES,10cm Grafted Vegetable Trays of 10,0
QC67,CRONTON NURSERIES,10cm Pot Chilli Tray of 10,0
QC67,CRONTON NURSERIES,10cm Pot Heritage Tomato,0
QC67,CRONTON NURSERIES,10cm Sweet Potato Tray of 10,0
QC67,CRONTON NURSERIES,1L Pot Herb Tray of 8,571.28
QC67,CRONTON NURSERIES,1L Pot Veg Tray of 8,0
QC67,CRONTON NURSERIES,8.5cm Pot Herb Tray of 18,299.52
QC67,CRONTON NURSERIES,8.5cm Pot Strawberry Tray of 18,0
QC67,CRONTON NURSERIES,8.5cm Pot Sweet Pea Tray of 18,0
QC67,CRONTON NURSERIES,8.5cm Pot vegetables Tray of 18,351
QC67,CRONTON NURSERIES,8.5cm Premium Pot Veg Tray of 18,0
QC67,CRONTON NURSERIES,8.5cm Wildflower Tray of 18,0
QC67,CRONTON NURSERIES,Bare root Wallflowers,0
QC67,CRONTON NURSERIES,Point of Sale,0
QC67,CRONTON NURSERIES,Q Sleeve Wallflowers,0
QC67,CRONTON NURSERIES,Strawberry Carry Packs Tray of 6,0
QC67,CRONTON NURSERIES,Strip Vegetables Tray of 6,613.8
QC67,CRONTON NURSERIES,Sweet Pea Carry Packs Tray of 6,104.76
QS39,D STEWART & SON LTD.,10cm Bean/Pea Range - Trays of 10,1464
QS39,D STEWART & SON LTD.,10cm Grafted Vegetable Trays of 10,8053.5
QS39,D STEWART & SON LTD.,10cm Pot Chilli Tray of 10,2138.4
QS39,D STEWART & SON LTD.,10cm Pot Heritage Tomato,1248
QS39,D STEWART & SON LTD.,10cm Sweet Potato Tray of 10,1323
QS39,D STEWART & SON LTD.,1L Pot Herb Tray of 8,0
QS39,D STEWART & SON LTD.,1L Pot Veg Tray of 8,1832.64
QS39,D STEWART & SON LTD.,8.5cm Pot Herb Tray of 18,0
QS39,D STEWART & SON LTD.,8.5cm Pot Strawberry Tray of 18,3564
QS39,D STEWART & SON LTD.,8.5cm Pot Sweet Pea Tray of 18,1353.6
QS39,D STEWART & SON LTD.,8.5cm Pot vegetables Tray of 18,14727.96
QS39,D STEWART & SON LTD.,8.5cm Premium Pot Veg Tray of 18,4399.92
QS39,D STEWART & SON LTD.,8.5cm Wildflower Tray of 18,993.6
QS39,D STEWART & SON LTD.,Bare root Wallflowers,0
QS39,D STEWART & SON LTD.,Point of Sale,0
QS39,D STEWART & SON LTD.,Q Sleeve Wallflowers,1283.55
QS39,D STEWART & SON LTD.,Strawberry Carry Packs Tray of 6,2316.36
QS39,D STEWART & SON LTD.,Strip Vegetables Tray of 6,15363.6
QS39,D STEWART & SON LTD.,Sweet Pea Carry Packs Tray of 6,1606.32
QS6,D.J. SQUIRE & CO. LTD.,10cm Bean/Pea Range - Trays of 10,7296
QS6,D.J. SQUIRE & CO. LTD.,10cm Grafted Vegetable Trays of 10,33571
QS6,D.J. SQUIRE & CO. LTD.,10cm Pot Chilli Tray of 10,7563.6
QS6,D.J. SQUIRE & CO. LTD.,10cm Pot Heritage Tomato,7152
QS6,D.J. SQUIRE & CO. LTD.,10cm Sweet Potato Tray of 10,4116
QS6,D.J. SQUIRE & CO. LTD.,1L Pot Herb Tray of 8,80596.8
QS6,D.J. SQUIRE & CO. LTD.,1L Pot Veg Tray of 8,4820.64
QS6,D.J. SQUIRE & CO. LTD.,8.5cm Pot Herb Tray of 18,72652.32
QS6,D.J. SQUIRE & CO. LTD.,8.5cm Pot Strawberry Tray of 18,6454.8
QS6,D.J. SQUIRE & CO. LTD.,8.5cm Pot Sweet Pea Tray of 18,846
QS6,D.J. SQUIRE & CO. LTD.,8.5cm Pot vegetables Tray of 18,67967.64
QS6,D.J. SQUIRE & CO. LTD.,8.5cm Premium Pot Veg Tray of 18,18930.24
QS6,D.J. SQUIRE & CO. LTD.,8.5cm Wildflower Tray of 18,0
QS6,D.J. SQUIRE & CO. LTD.,Bare root Wallflowers,0
QS6,D.J. SQUIRE & CO. LTD.,Point of Sale,0
QS6,D.J. SQUIRE & CO. LTD.,Q Sleeve Wallflowers,789.6
QS6,D.J. SQUIRE & CO. LTD.,Strawberry Carry Packs Tray of 6,18367.92
QS6,D.J. SQUIRE & CO. LTD.,Strip Vegetables Tray of 6,106020
QS6,D.J. SQUIRE & CO. LTD.,Sweet Pea Carry Packs Tray of 6,12885.48
QD22,DAISY JACK MAGIC LTD,10cm Bean/Pea Range - Trays of 10,0
QD22,DAISY JACK MAGIC LTD,10cm Grafted Vegetable Trays of 10,0
QD22,DAISY JACK MAGIC LTD,10cm Pot Chilli Tray of 10,0
QD22,DAISY JACK MAGIC LTD,10cm Pot Heritage Tomato,0
QD22,DAISY JACK MAGIC LTD,10cm Sweet Potato Tray of 10,0
QD22,DAISY JACK MAGIC LTD,1L Pot Herb Tray of 8,555.84
QD22,DAISY JACK MAGIC LTD,1L Pot Veg Tray of 8,0
QD22,DAISY JACK MAGIC LTD,8.5cm Pot Herb Tray of 18,599.04
QD22,DAISY JACK MAGIC LTD,8.5cm Pot Strawberry Tray of 18,0
QD22,DAISY JACK MAGIC LTD,8.5cm Pot Sweet Pea Tray of 18,0
QD22,DAISY JACK MAGIC LTD,8.5cm Pot vegetables Tray of 18,505.44
QD22,DAISY JACK MAGIC LTD,8.5cm Premium Pot Veg Tray of 18,120.96
QD22,DAISY JACK MAGIC LTD,8.5cm Wildflower Tray of 18,0
QD22,DAISY JACK MAGIC LTD,Bare root Wallflowers,0
QD22,DAISY JACK MAGIC LTD,Point of Sale,0
QD22,DAISY JACK MAGIC LTD,Q Sleeve Wallflowers,292.5
QD22,DAISY JACK MAGIC LTD,Strawberry Carry Packs Tray of 6,0
QD22,DAISY JACK MAGIC LTD,Strip Vegetables Tray of 6,2483.1
QD22,DAISY JACK MAGIC LTD,Sweet Pea Carry Packs Tray of 6,0
QD32,DALESIDE NURSERIES LTD,10cm Bean/Pea Range - Trays of 10,0
QD32,DALESIDE NURSERIES LTD,10cm Grafted Vegetable Trays of 10,590
QD32,DALESIDE NURSERIES LTD,10cm Pot Chilli Tray of 10,0
QD32,DALESIDE NURSERIES LTD,10cm Pot Heritage Tomato,0
QD32,DALESIDE NURSERIES LTD,10cm Sweet Potato Tray of 10,49
QD32,DALESIDE NURSERIES LTD,1L Pot Herb Tray of 8,4523.92
QD32,DALESIDE NURSERIES LTD,1L Pot Veg Tray of 8,0
QD32,DALESIDE NURSERIES LTD,8.5cm Pot Herb Tray of 18,1853.28
QD32,DALESIDE NURSERIES LTD,8.5cm Pot Strawberry Tray of 18,138.6
QD32,DALESIDE NURSERIES LTD,8.5cm Pot Sweet Pea Tray of 18,203.04
QD32,DALESIDE NURSERIES LTD,8.5cm Pot vegetables Tray of 18,673.92
QD32,DALESIDE NURSERIES LTD,8.5cm Premium Pot Veg Tray of 18,196.56
QD32,DALESIDE NURSERIES LTD,8.5cm Wildflower Tray of 18,0
QD32,DALESIDE NURSERIES LTD,Bare root Wallflowers,0
QD32,DALESIDE NURSERIES LTD,Point of Sale,0
QD32,DALESIDE NURSERIES LTD,Q Sleeve Wallflowers,0
QD32,DALESIDE NURSERIES LTD,Strawberry Carry Packs Tray of 6,104.76
QD32,DALESIDE NURSERIES LTD,Strip Vegetables Tray of 6,3385.2
QD32,DALESIDE NURSERIES LTD,Sweet Pea Carry Packs Tray of 6,162.96
QD18,DARBY'S GARDEN CENTRE,10cm Bean/Pea Range - Trays of 10,0
QD18,DARBY'S GARDEN CENTRE,10cm Grafted Vegetable Trays of 10,0
QD18,DARBY'S GARDEN CENTRE,10cm Pot Chilli Tray of 10,0
QD18,DARBY'S GARDEN CENTRE,10cm Pot Heritage Tomato,0
QD18,DARBY'S GARDEN CENTRE,10cm Sweet Potato Tray of 10,0
QD18,DARBY'S GARDEN CENTRE,1L Pot Herb Tray of 8,0
QD18,DARBY'S GARDEN CENTRE,1L Pot Veg Tray of 8,0
QD18,DARBY'S GARDEN CENTRE,8.5cm Pot Herb Tray of 18,56.16
QD18,DARBY'S GARDEN CENTRE,8.5cm Pot Strawberry Tray of 18,0
QD18,DARBY'S GARDEN CENTRE,8.5cm Pot Sweet Pea Tray of 18,0
QD18,DARBY'S GARDEN CENTRE,8.5cm Pot vegetables Tray of 18,70.2
QD18,DARBY'S GARDEN CENTRE,8.5cm Premium Pot Veg Tray of 18,30.24
QD18,DARBY'S GARDEN CENTRE,8.5cm Wildflower Tray of 18,0
QD18,DARBY'S GARDEN CENTRE,Bare root Wallflowers,0
QD18,DARBY'S GARDEN CENTRE,Point of Sale,0
QD18,DARBY'S GARDEN CENTRE,Q Sleeve Wallflowers,0
QD18,DARBY'S GARDEN CENTRE,Strawberry Carry Packs Tray of 6,0
QD18,DARBY'S GARDEN CENTRE,Strip Vegetables Tray of 6,195.3
QD18,DARBY'S GARDEN CENTRE,Sweet Pea Carry Packs Tray of 6,0
QD16,DAVID G ROSS LTD,10cm Bean/Pea Range - Trays of 10,0
QD16,DAVID G ROSS LTD,10cm Grafted Vegetable Trays of 10,0
QD16,DAVID G ROSS LTD,10cm Pot Chilli Tray of 10,0
QD16,DAVID G ROSS LTD,10cm Pot Heritage Tomato,0
QD16,DAVID G ROSS LTD,10cm Sweet Potato Tray of 10,0
QD16,DAVID G ROSS LTD,1L Pot Herb Tray of 8,802.88
QD16,DAVID G ROSS LTD,1L Pot Veg Tray of 8,0
QD16,DAVID G ROSS LTD,8.5cm Pot Herb Tray of 18,786.24
QD16,DAVID G ROSS LTD,8.5cm Pot Strawberry Tray of 18,435.6
