CENTRE,8.5 Herb 8,1L Herb 8,Total Trays,,Straw 9,Straw 10,Straw 11,Straw 12,Straw 13,Straw 14,Straw 15,Straw 16,Straw 17,Straw 18,Straw 19,Straw 20,Straw 21,Straw 22,Total Trays,Coll,,,8.5cm Straw 9,8.5cm Straw 10,8.5cm Straw 11,8.5cm Straw 12,8.5cm Straw 13,8.5cm Straw 14,8.5cm Straw 15,8.5cm Straw 16,8.5cm Straw 17,8.5cm Straw 18,8.5cm Straw 19,8.5cm Straw 20,8.5cm Straw 21,8.5cm Straw 22,Total Trays,Coll,,,SPEA 9,SPEA 10,SPEA 11,SPEA 12,SPEA 13,SPEA 14,SPEA 15,SPEA 16,SPEA 17,SPEA 18,SPEA 19,Total Trays,Coll,,,8.5cm S/Peas 10,8.5cm S/Peas 11,8.5cm S/Peas 12,8.5cm S/Peas 13,8.5cm S/Peas 14,8.5cm S/Peas 15,8.5cm S/Peas 16,8.5cm S/Peas 17,8.5cm S/Peas 18,8.5cm S/Peas 19,Total Trays,Coll,,,Grafted 14,Grafted 16,Grafted 18,Total Trays,Coll,,,Grafted Chilli 14,Grafted Chilli 16,Grafted Chilli 18,Total Trays,Coll,,,Dyna Chilli 15,Dyna Chilli 17,Total Trays,Coll,,,P/Bean 15,P/Bean 17,P/Bean 19,Total Trays,Coll,,,Sweet Potato 17,Total Trays,Coll,,,Heritage Tom 18,Heritage Tom 20,Total Trays,Coll,,,1L Veg 20,1L Veg 22,Total Trays,Coll,,,Autumn Strip,Total Pots,Coll,,Taken,Wildflower Week 12,Total Pots,Coll
Carr Farm Garden Centre,30,,,,30,,,15,,15,,,,,,,,,60,2,,,16,,16,,16,,16,,,,,,,,64,2.133333333,,,,,,,,,,,,,,0,0,,,16,,16,,16,16,16,,,,80,2.666666667,,,,20,,20,0.666666667,,,,3,,3,0.1,,,16,,16,0.533333333,,,16,,,16,0.533333333,,,8,8,0.266666667,,,16,,16,0.533333333,,,,30,30,1,,,,0,0,,,,0,0
Castle Gardens,,,,,,,,15,15,15,,15,15,,,,,,75,2.5,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,3,,3,0.1,,,,,0,0,,,,,,0,0,,,16,16,0.533333333,,,16,,16,0.533333333,,,,20,20,0.666666667,,,,0,0,,,,0,0
Castle Howard ,,,,,,,,,,,,,,,,,,,0,0,,,,,,,30,,,,30,,,,,,60,2,,,,,,,,,,,,,,0,0,,,,,,30,,,,30,,,60,2,,,,,,0,0,,,,,,0,0,,,30,,30,1,,,30,30,,60,2,,,16,16,0.533333333,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Chaplins Plymouth Ltd,,,,,,,,30,,,,,15,,,,,,45,1.5,,,,,,16,,,,,8,,,16,,,40,1.333333333,,,,,,30,,,,,8,,,38,1.266666667,,,,,16,,,,,8,,,24,0.8,,,,,,0,0,,,,,,0,0,,,30,,30,1,,,16,,,16,0.533333333,,,16,16,0.533333333,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Chepstow,,,,,15,,,,15,,15,,15,,,,,,60,2,,,,30,,,,,,,,,,,,,30,1,,,15,,,15,15,,,,15,,,60,2,,,30,,,,,,,,,,30,1,,,20,20,,40,1.333333333,,,6,6,,12,0.4,,,16,16,32,1.066666667,,,16,16,16,48,1.6,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Country Market,,,,,,,,,,,,,,,,,,,0,0,,,,,,,16,,,,16,,,,,,32,1.066666667,,,,,,,,,,,,,,0,0,,,,,,16,,,,,,,16,0.533333333,,,,20,,20,0.666666667,,,,,,0,0,,,,16,16,0.533333333,,,,,,0,0,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Cowells,,,,,15,,,,30,,,,,,,,,,45,1.5,,,,,,,,,,,,,,,,,0,0,,,15,,,,30,,,,30,,,75,2.5,,,30,,,30,,,,30,,,90,3,,,30,30,,60,2,,,,3,,3,0.1,,,30,,30,1,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Deans Garden Centre Mill Farm Colchester,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,,,0,0,,,,16,16,0.533333333,,,,,,0,0,,,8,8,0.266666667,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Doddington Nurseries,,,,,,15,,,15,,,,,,,,,,30,1,,,,16,,,16,,,,,,,,,,32,1.066666667,,,,15,,,15,,,,,,,30,1,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Downtown Garden Centre Oldrids,,,,,,,,,,,,,15,,,,,,15,0.5,,,,16,,,,,16,,16,,,,,,48,1.6,,,,,,15,,,15,,,,,30,1,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,3,,,3,0.1,,,16,,16,0.533333333,,,,,,0,0,,,,0,0,,,,,0,0,,,20,20,40,1.333333333,,,,0,0,,,,0,0
Elm Court Garden Centre,,,,,,,,,,,,,,0,,,,,0,0,,,16,,16,16,16,16,16,30,16,30,,30,,,202,6.733333333,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Fakenham Garden Centre,,,,,,,,,,,,,,,,,,,0,0,,,16,,,,16,,,,16,,,16,,,64,2.133333333,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,16,16,32,1.066666667,,,16,16,,32,0,,,8,8,0.333333333,,,,,0,0,,,30,30,60,1.875,,,,0,0,,,,0,0
Farthing Common,,,,,,,,,,,,,,,,,,,0,0,,,16,,,,,,,16,,,,,,,32,1.066666667,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,12,12,0.4,,,16,,16,0.533333333,,,,20,20,0.666666667,,,,0,0,,,,0,0
Finchley Nurseries,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,20,20,0.666666667,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Flowerland Bourne End,,,,,15,,15,,15,,15,,30,,,,,,90,3,,,16,,16,,16,,,,16,,,16,,,80,2.666666667,,,15,,,,15,,,,15,,,45,1.5,,,,,,16,,,,,16,,32,1.066666667,,,20,20,20,60,2,,,,6,3,9,0.3,,,16,30,46,1.533333333,,,,16,16,32,1.066666667,,,12,12,0.4,,,16,,16,0.533333333,,,20,20,40,1.333333333,,,,0,0,,,16,16,0.533333333
Flowerland Iver,,,,,15,,,15,15,30,,30,,,,,,,105,3.5,,,16,,,16,16,,16,,16,,,16,,,96,3.2,,,15,,,15,15,,,,15,,,60,2,,,,,,16,,,,,,,16,0.533333333,,,20,20,,40,1.333333333,,,6,6,6,18,0.6,,,16,16,32,1.066666667,,,16,,16,32,1.066666667,,,12,12,0.4,,,30,,30,1,,,40,40,80,2.666666667,,,,0,0,,,16,16,0.533333333
Folkestone Garden Centre,,,,,15,,,,15,,,,15,,,,,,45,1.5,,,16,,,,16,,,,16,,,16,,,64,2.133333333,,,15,,,,15,,,,15,,,45,1.5,,,,,16,,,,,,,,16,0.533333333,,,,,,0,0,,,,,,0,0,,,,,0,0,,,16,16,,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,,30,30,1,,,30,30,1,,,,0,0
Forest Garden Centre,,,,,,,,,,15,,,,,,,,,15,0.5,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,16,,,,,,16,0.533333333,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Frosts Willington,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,8,,,,,,,8,0.266666667,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,20,,20,40,1.333333333,,,3,,3,6,0.2,,,,16,16,0.533333333,,,,16,,16,0.533333333,,,16,16,0.533333333,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Frosts Woburn,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,16,,,,,,,16,0.533333333,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,20,,20,40,1.333333333,,,3,,3,6,0.2,,,,16,16,0.533333333,,,,16,,16,0.533333333,,,16,16,0.533333333,,,16,,16,0.533333333,,,30,,30,1,,,,0,0,,,,0,0
Garsons Farm (Thompson Bros),,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,30,,30,1,,,,3,,3,0.1,,,,30,30,1,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,,30,30,1,,,,0,0,,,,0,0
Gates Nurseries & Garden Centre,,,,,15,,9,,15,,15,,8,,,,,,62,2.066666667,,,16,,8,,8,,16,,8,,,,,,56,1.866666667,,,15,,15,,15,30,30,15,30,,,150,5,,,,,16,,16,,16,,16,,64,2.133333333,,,20,20,20,60,2,,,3,3,3,9,0.3,,,16,16,32,1.066666667,,,,16,,16,0.533333333,,,8,8,0.266666667,,,30,,30,1,,,20,,20,0.666666667,,,,0,0,,,,0,0
Giants Seat Garden Centre,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,9,,9,,,,,18,0.6,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Glossop Garden Centre,,,,,,,,,15,,,15,,,,,,,30,1,,,,,,,16,,,,,,,,,,16,0.533333333,,,,,,,15,,,,,,,15,0.5,,,,,16,,,,,,,,16,0.533333333,,,,20,,20,0.666666667,,,,3,,3,0.1,,,16,,16,0.533333333,,,,,,0,0,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Gordale,,,,,,,,,,,,,,,,,,,0,0,,,,16,,16,,16,,16,,8,,,,,72,2.4,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,16,16,0.533333333,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Goulds,,,,,15,,15,,15,,15,,15,,,,,,75,2.5,,,,16,,16,,16,,16,,16,,,,,80,2.666666667,,,15,,15,,15,,15,,15,,,75,2.5,,,16,,16,,16,,16,,16,,80,2.666666667,,,30,,20,50,1.666666667,,,3,,,3,0.1,,,16,,16,0.533333333,,,,16,,16,0.533333333,,,12,12,0.4,,,30,,30,1,,,20,30,50,1.666666667,,,30,30,1,,,,0,0
Greenfingers Garden Centre,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,30,,30,1,,,,,,0,0,,,12,,12,0.4,,,,,,0,0,,,4,4,0.133333333,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Haddenham,,,,,,15,,15,,,,15,,,,,,,45,1.5,,,,,16,,,,,,,,,,,,16,0.533333333,,,,,15,,,15,,16,,,,46,1.533333333,,,,,,,,,16,,,,16,0.533333333,,,,,20,20,0.666666667,,,,,,0,0,,,16,16,32,1.066666667,,,,,,0,0,,,12,12,0.4,,,,,0,0,,,20,,20,0.666666667,,,,0,0,,,,0,0
Ham Street,,,,,15,,,,15,,,,15,,,,,,45,1.5,,,16,,,,16,,,,16,,,16,,,64,2.133333333,,,15,,,,15,,,,,,,30,1,,,,,16,,,,,,,,16,0.533333333,,,,,,0,0,,,,,,0,0,,,,,0,0,,,16,16,,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,,30,30,1,,,30,30,1,,,,0,0
Hampsons,,,,,30,,30,30,60,30,30,30,60,30,,,,,330,11,,,,16,,16,,16,,16,,16,,16,,,96,3.2,,,,30,,30,30,30,30,,30,,,180,6,,,,16,,16,16,16,,16,16,,96,3.2,,,30,30,,60,2,,,,,,0,0,,,30,30,60,2,,,30,30,,60,2,,,30,30,1,,,30,,30,1,,,30,,30,1,,,,0,0,,,,0,0
Hare Hatch Sheeplands,,,,,,,,,,,,,,,,,,,0,0,,,,16,,,16,,,,16,,,,,,48,1.6,,,,,,,,,,,,,,0,0,,,16,,,16,,,,,,,32,1.066666667,,,20,,20,40,1.333333333,,,3,,3,6,0.2,,,16,,16,0.533333333,,,,16,,16,0.533333333,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Haslemere,,,,,,,,,,,,15,,,,,,,15,0.5,,,,,,,,,,16,,,,,,,16,0.533333333,,,,,,,,,,15,,,,15,0.5,,,,,,,,,16,,,,16,0.533333333,,,,20,,20,0.666666667,,,,,,0,0,,,,16,16,0.533333333,,,,16,,16,0.533333333,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Hayes Ambleside,,,,,,15,,30,,30,,30,,30,,,,,135,4.5,,,,,,,,,,,,,,,,,0,0,,,,,,15,,30,,30,,,,75,2.5,,,,,16,,,,16,,,,32,1.066666667,,,20,,,20,0.666666667,,,3,,,3,0.1,,,,,0,0,,,,16,,16,0.533333333,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Henry Street,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,20,20,40,1.333333333,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Hertfordshire Garden Centre,,,,,15,,,15,15,,15,,15,,,,,,75,2.5,,,,30,,,,,30,,16,,,,,,76,2.533333333,,,15,,,,15,15,,,,,,45,1.5,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,3,,,3,0.1,,,,16,16,0.533333333,,,,,30,30,1,,,,0,0,,,16,,16,0.533333333,,,,20,20,0.666666667,,,,0,0,,,,0,0
Holme Nurseries,,,,,,,,,15,,,15,,,,,,,30,1,,,,15,,,15,,,15,,,,,,,45,1.5,,,,15,,,15,,,15,,,,45,1.5,,,,,,,,,,,,,0,0,,,,20,20,40,1.333333333,,,,3,,3,0.1,,,,16,16,0.533333333,,,,16,,16,0.533333333,,,,0,0,,,16,,16,0.533333333,,,20,20,40,1.333333333,,,,0,0,,,,0,0
Holton Road Garden Centre,,,,,15,,,,,,,,,,,,,,15,0.5,,,16,,,,,,,,,,,,,,16,0.533333333,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,,,0,0,,,,,0,0,,,,16,,16,0.533333333,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Homeleigh Bude Garden Centre,,,,,30,,,,15,15,,,,,,,,,60,2,,,16,,,,16,16,,,,,,,,,48,1.6,,,15,,,,15,9,,,,,,39,1.3,,,,,,,16,,,,,,16,0.533333333,,,,,,0,0,,,,,,0,0,,,,16,16,0.533333333,,,,,,0,0,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Homeleigh Dutson Garden Centre,,,,,30,,,,,,,,30,,,,,,60,2,,,30,,30,,,,30,,,,,,,,90,3,,,30,,,,30,,,,30,,,90,3,,,,16,,,,,,,,,16,0.533333333,,,,20,,20,0.666666667,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Homeleigh GC Crediton,,,,,15,,,,15,,,,,,,,,,30,1,,,16,,,,16,,,,,,,,,,32,1.066666667,,,,15,,,15,,,,,,,30,1,,,,,,,,16,,,,,16,0.533333333,,,,,,0,0,,,,,,0,0,,,,16,16,0.533333333,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Iron Acton,,,,,15,,15,,15,,15,,15,,,,,,75,2.5,,,,30,,,,,,,,,,,,,30,1,,,15,,15,,15,,15,,15,,,75,2.5,,,30,,,,,,,,,,30,1,,,20,,20,40,1.333333333,,,6,,3,9,0.3,,,16,16,32,1.066666667,,,16,,16,32,1.066666667,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
J & L Garden Centre,,,,,,,15,,15,,,,,,,,,,30,1,,,,,,,,,,,,,,,,,0,0,,,,,,,9,,,,,,,9,0.3,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,3,,,3,0.1,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Jacksdale Garden Centre,,,,,,,,30,,30,,30,,,,,,,90,3,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,15,,,15,0.5,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,16,16,0.533333333,,,16,,,16,0.533333333,,,12,12,0.4,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Kings Garden and Leisure Exmouth,,,,,15,,15,,15,,15,,15,,,,,,75,2.5,,,,,,,,,16,,16,,,,,,32,1.066666667,,,15,,15,,15,,15,,15,,,75,2.5,,,,,,,,,,,,,0,0,,,20,20,,40,1.333333333,,,3,3,,6,0.2,,,16,,16,0.533333333,,,,,,0,0,,,8,8,0.266666667,,,16,,16,0.533333333,,,20,20,40,1.333333333,,,,0,0,,,,0,0
Kings Garden and Leisure Sidmouth,,,,,15,,15,,15,,15,15,,,,,,,75,2.5,,,16,,,,,,16,,,,,,,,32,1.066666667,,,15,,,,15,,15,,,,,45,1.5,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Knights Plant and Life Betchworth,,,,,,,,15,,,,,,,,,,,15,0.5,,,,16,,,,,16,,,,,,,,32,1.066666667,,,,,,,,,,,,,,0,0,,,,,16,,,,,,,,16,0.533333333,,,20,,,20,0.666666667,,,3,,,3,0.1,,,,,0,0,,,,,,0,0,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Knights Plant and Life Nags Hall,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,30,,,,,,,3,,,,,,,,,,,,,,,,,,,,8,,,,,16,,,,,,,,,,,,,,,,,,,
Lakeside Plant Centre,,,,,,,,,,,,,,,,,,,0,0,,,,,,16,,,,,,,,,,,16,0.533333333,,,,,,6,,,,,,,,6,0.2,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Langton Greenhouse & GC,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,,,0,0,,,,30,30,1,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Ludlow,,,,,,,,,,,,,,,,,,,0,0,,,,,16,,,,16,16,,,,,,,48,1.6,,,,,,,,,,,,,,0,0,,,,16,,,,16,16,,,,48,1.6,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,8,8,0.266666667,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Lydstep Garden Centre,,,,,30,,,,,,,,,,,,,,30,1,,,,,,,,,,,,,,,,,0,0,,,30,,,,,,,,,,,30,1,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Lynch Lane,,,,,,,,,,,,,,,,,,,0,0,,,30,,,,,,,,,,,,,,30,1,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Mayberry (Tate Bros),,,,,15,,15,,,,15,,15,,,,,,60,2,,,,,,,,,,,,,,,,,0,0,,,15,,15,,,,,,15,,,45,1.5,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,20,,20,0.666666667,,,,0,0,,,16,16,0.533333333
Millbrook Garden Centre Monmouth,,,,,15,,15,,15,,15,,15,,,,,,75,2.5,,,,,,,,,,,,,,,,,0,0,,,,,,,15,,,,,,,15,0.5,,,,,,,,,,,,,0,0,,,20,,20,40,1.333333333,,,,,,0,0,,,16,16,32,1,,,16,16,16,48,1.6,,,16,16,0.533333333,,,16,,16,0.533333333,,,,20,20,0.666666667,,,30,30,1,,,,0,0
Millbrook Gravesend,,,,,30,,30,,30,,30,,30,,,,,,150,5,,,,,,,,,,,,,,,,,0,0,,,15,,,15,30,,15,,15,,,90,3,,,,,,,,,,,,,0,0,,,20,20,20,60,2,,,,,,0,0,,,16,16,32,1.066666667,,,16,,16,32,1.066666667,,,16,16,0.533333333,,,30,,30,1,,,30,30,60,2,,,,0,0,,,,0,0
Millbrook Highgrove,,,,,15,,15,,15,,15,,15,,,,,,75,2.5,,,,,,,,,,,,,,,,,0,0,,,15,,,,,,,,,,,15,0.5,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,6,6,0.2,,,16,,16,0.533333333,,,,20,20,0.666666667,,,,0,0,,,,0,0
Milton Ernest,,,,,,15,,,,,,,,,,,,,15,0.5,,,,,,,,,,,,,,,,,0,0,,,,,,15,,15,,15,,,,45,1.5,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,30,30,1,,,,,16,16,0.533333333,,,,0,0,,,,,0,0,,,20,,20,0.666666667,,,,0,0,,,,0,0
Miltons Wallpaper (Seasons Burton),,,,,,,,15,,15,15,15,,,,,,,60,2,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,16,,16,0.533333333,,,16,,16,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Monkton Elm Garden Centre,30,30,,,30,,30,30,30,30,30,30,30,,,,,,240,8,,,,,16,,16,,,16,,16,,16,,,80,2.666666667,,,15,,,15,,15,,,15,,,60,2,,,,16,,,,,16,,,,32,1.066666667,,,,,,0,0,,,,,,0,0,,,16,16,32,1.066666667,,,16,16,,32,1.066666667,,,12,12,0.4,,,30,,30,1,,,30,30,60,2,,,,0,0,,,,0,0
Munro's Nurseries,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,16,,16,,16,,16,,64,2.133333333,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Norton,,,,,15,,15,,15,,15,,15,,,,,,75,2.5,,,,30,,,,,,,,,,,,,30,1,,,15,,15,,15,,15,,15,,,75,2.5,,,30,,,,,,,,,,30,1,,,20,,,20,0.666666667,,,6,,,6,0.2,,,16,,16,0.533333333,,,,,16,16,0.533333333,,,,0,0,,,16,,16,0.533333333,,,,,0,0,,,,0,0,,,,0,0
Oakington Garden Centre,,,,,15,,,,15,,,,15,,,,,,45,1.5,,,16,,,,16,,,16,,,,,,,48,1.6,,,15,,,,15,,,,,,,30,1,,,16,,,,,,,,,,16,0.533333333,,,20,,,20,0.666666667,,,,,,0,0,,,16,,16,0.533333333,,,16,16,,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,30,,30,1,,,,0,0,,,,0,0
Oaktree Garden Centre,,,,,15,,,15,30,,30,,15,,,,,,105,3.5,,,,,16,,16,,,,,,,,,,32,1.066666667,,,15,,,15,,15,,15,,,,60,2,,,,,,16,,16,,,,,32,1.066666667,,,20,20,,40,1.333333333,,,3,3,,6,0.2,,,16,16,32,1.066666667,,,16,16,16,48,1.6,,,8,8,0.266666667,,,16,,16,0.533333333,,,20,,20,0.666666667,,,,0,0,,,,0,0
Okells,,,,,,,,,,15,,15,,,,,,,30,1,,,,,,,,,,,,,,,,,0,0,,,,,,,,15,,15,,,,30,1,,,,,,,,,,,,,0,0,,,,30,,30,1,,,,,,0,0,,,16,,16,0.533333333,,,,16,16,32,1.066666667,,,,0,0,,,16,,16,0.533333333,,,,20,20,0.666666667,,,,0,0,,,,0,0
Old Barn Nurseries (Tate Bros),,,,,15,,15,,30,15,,15,15,,,,,,105,3.5,,,,,,,,,,,,,,,,,0,0,,,15,,15,,30,15,,15,15,,,105,3.5,,,,,,,,,,,,,0,0,,,,20,,20,0.666666667,,,,6,,6,0.2,,,16,,16,0.533333333,,,,,,0,0,,,,0,0,,,,,0,0,,,20,,20,0.666666667,,,,0,0,,,16,16,0.533333333
Otter Jack's Patch,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Otter Lymington,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,,,30,1,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,8,8,0.266666667,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Otter Paignton,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Otter Plymouth,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,30,,,30,1,,,,,,0,0,,,16,,16,0.533333333,,,,,,0,0,,,8,8,0.266666667,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Otter Taunton,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Otter Wincanton,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,20,,,20,0.666666667,,,,,,0,0,,,,,0,0,,,,,,0,0,,,,0,0,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
