CENTRE,8.5 Herb 8,1L Herb 8,Total Trays,,Straw 9,Straw 10,Straw 11,Straw 12,Straw 13,Straw 14,Straw 15,Straw 16,Straw 17,Straw 18,Straw 19,Straw 20,Straw 21,Straw 22,Total Trays,Coll,,,8.5cm Straw 9,8.5cm Straw 10,8.5cm Straw 11,8.5cm Straw 12,8.5cm Straw 13,8.5cm Straw 14,8.5cm Straw 15,8.5cm Straw 16,8.5cm Straw 17,8.5cm Straw 18,8.5cm Straw 19,8.5cm Straw 20,8.5cm Straw 21,8.5cm Straw 22,Total Trays,Coll,,,SPEA 9,SPEA 10,SPEA 11,SPEA 12,SPEA 13,SPEA 14,SPEA 15,SPEA 16,SPEA 17,SPEA 18,SPEA 19,Total Trays,Coll,,,8.5cm S/Peas 10,8.5cm S/Peas 11,8.5cm S/Peas 12,8.5cm S/Peas 13,8.5cm S/Peas 14,8.5cm S/Peas 15,8.5cm S/Peas 16,8.5cm S/Peas 17,8.5cm S/Peas 18,8.5cm S/Peas 19,Total Trays,Coll,,,Grafted 14,Grafted 16,Grafted 18,Total Trays,Coll,,,Grafted Chilli 14,Grafted Chilli 16,Grafted Chilli 18,Total Trays,Coll,,,Dyna Chilli 15,Dyna Chilli 17,Total Trays,Coll,,,P/Bean 15,P/Bean 17,P/Bean 19,Total Trays,Coll,,,Sweet Potato 17,Total Trays,Coll,,,Heritage Tom 18,Heritage Tom 20,Total Trays,Coll,,,1L Veg 20,1L Veg 22,Total Trays,Coll,,,Autumn Strip,Total Pots,Coll,,Taken,Wildflower Week 12,Total Pots,Coll
QD Stores,,,,,,,,,420,,,,390,,,,,,810,27,,,,512,,,,336,,,,352,,,,,1200,40,,,270,,,,255,,,,,,,525,17.5,,,,,,,,,336,,,,336,11.2,,,386,120,,506,16.86666667,,,60,,,60,10,,,320,,320,10.66666667,,,434,128,,562,18.73333333,,,,0,0,,,330,,330,11,,,530,480,1010,33.66666667,,,,0,0,,,,0,0
Squires,,,,,540,,,465,,,480,,390,,,,,,1875,62.5,,,,,,,312,,,,,,,,,,312,10.4,,,330,,,240,,240,,,195,,,1005,33.5,,,,,,,,,,,,,0,0,,,430,340,300,1070,35.66666667,,,82,,,82,13.66666667,,,382,,382,12.73333333,,,256,382,,638,21.26666667,,,162,162,5.4,,,394,192,586,19.53333333,,,340,240,580,19.33333333,,,,0,0,,,,0,0
Roots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,39,,,39,6.5,,,,,,,,,133,,,,,,,76,76,2.533333333,,,,,,,,,,,,,,,,,,,,,,
Kings,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0,0,,,,,,0,0,,,,,,0,0,,,,,0,0,,,,,,0,0,,,66,66,2.2,,,,,0,0,,,,,0,0,,,,0,0,,,,0,0
Groups Sold,,,,,3267,1071,636,1101,1458,1236,2297,666,1446,1697,666,0,0,0,15541,518.0333333,,,656,512,0,0,312,336,0,0,0,352,0,0,0,0,2168,72.26666667,,,1245,435,0,240,665,765,485,50,245,315,0,4445,148.1666667,,,100,696,10,10,10,492,346,60,10,10,1744,58.13333333,,,6196,3285,1540,11021,367.3666667,,,583,98,28,709,118.1666667,,,2787,1516,4303,143.4333333,,,2583,2392,0,4975,165.8333333,,,1426,1426,47.53333333,,,1500,192,1692,56.4,,,2390,1410,3800,126.6666667,,,0,0,0,,,0,0,0
Independents,,,,,1236,324,879,615,1332,615,891,522,1160,75,0,0,0,0,7649,254.9666667,,,708,723,272,384,895,398,558,451,696,354,144,346,48,0,5977,199.2333333,,,882,369,480,435,1062,445,574,316,749,0,0,5312,177.0666667,,,678,224,440,470,397,382,316,286,238,44,3475,115.8333333,,,2220,1810,1060,5090,169.6666667,,,225,177,90,492,82,,,1874,1108,2982,99.4,,,892,1096,636,2624,87.46666667,,,1058,1058,35.26666667,,,1974,0,1974,65.8,,,1890,1450,3340,111.3333333,,,540,540,540,,,206,206,206
 Total Sold,0,0,,,5223,1695,2015,2016,3030,2571,3428,1458,2906,1772,918,0,0,0,27032,901.0666667,0,,1364,1235,272,384,1207,734,558,451,696,706,144,346,48,0,8145,271.5,0,,2127,804,480,675,1727,1210,1059,366,994,315,0,9757,325.2333333,0,,778,920,450,480,407,874,662,346,248,54,5219,173.9666667,0,,8956,5305,2765,17026,567.5333333,0,,928,275,133,1336,222.6666667,0,,5573,2624,8197,273.2333333,0,,4195,4088,1140,9423,314.1,0,,2889,2889,96.3,0,,3669,417,4086,136.2,0,,4280,2860,7140,238,0,,540,540,540,,,206,206,206
Balance,0,0,,,177,105,185,84,270,629,-328,142,94,128,182,700,500,300,3168,105.6,,,286,65,178,166,243,166,142,149,154,194,156,54,152,100,2105,70.16666667,,,-2127,-804,-480,-675,-1727,-1210,-1059,-366,-994,-315,0,-9757,-325.2333333,,,-778,-920,-450,-480,-407,-874,-662,-346,-248,-54,-5219,-173.9666667,,,-8956,-5305,-2765,-17026,28.4,,,-928,-275,-133,-1336,-222.6666667,,,-5573,-2624,-8197,-273.2333333,,,-4195,-4088,-1140,-9423,-314.1,,,-219,-219,-7.3,,,-3669,-417,-4086,-136.2,,,-4280,-2860,-7140,-238,,,-540,-540,-540,,,-206,-206,-206
1,0,0,,,5.9,3.5,6.166666667,2.8,9,20.96666667,-10.93333333,4.733333333,3.133333333,4.266666667,6.066666667,23.33333333,16.66666667,10,55.6,,,,9.533333333,2.166666667,5.933333333,5.533333333,8.1,5.533333333,4.733333333,4.966666667,5.133333333,6.466666667,5.2,1.8,5.066666667,3.333333333,70.16666667,,,,-88.625,-33.5,-20,-28.125,-71.95833333,-50.41666667,-44.125,-15.25,-41.41666667,-13.125,0,-406.5416667,,,,-32.41666667,-38.33333333,-18.75,-20,-16.95833333,-36.41666667,-27.58333333,-14.41666667,-10.33333333,-2.25,-217.4583333,,,,-298.5333333,-176.8333333,-92.16666667,-567.5333333,,,,-38.66666667,-11.45833333,-5.541666667,-55.66666667,-9.277777778,,,-232.2083333,-109.3333333,-341.5416667,,,,-139.8333333,-136.2666667,-38,-314.1,,,,-9.125,-9.125,,,,-152.875,-17.375,-170.25,,,,-178.3333333,-95.33333333,-273.6666667,,,,-22.5,-22.5,-22.5,,,-8.583333333,-8.583333333,-8.583333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
